               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11458,               1.364,            0.032778,                   0,                   0,                   0,                   0,             0.10879,              1.7108,             0.02925,              0.0892,              0.0012,              0.0012
                   1,             0.11387,              1.3362,            0.032699,                   0,                   0,                   0,                   0,             0.10902,              1.6994,            0.029246,            0.077493,           0.0024925,           0.0024925
                   2,             0.11217,              1.3254,            0.032068,                   0,                   0,                   0,                   0,              0.1093,              1.6978,            0.029258,            0.065777,           0.0037772,           0.0037772
                   3,             0.11112,              1.2698,            0.031974,                   0,                   0,                   0,                   0,              0.1093,              1.6978,            0.029258,            0.054054,           0.0050541,           0.0050541
                   4,             0.10992,              1.2316,            0.032075,                   0,                   0,                   0,                   0,             0.10973,              1.6938,            0.029302,            0.042323,           0.0063232,           0.0063232
                   5,             0.10989,              1.2389,            0.031983,                   0,                   0,                   0,                   0,             0.10973,              1.6938,            0.029302,            0.030585,           0.0075845,           0.0075845
                   6,             0.10902,               1.154,            0.031505,                   0,                   0,                   0,                   0,              0.1104,              1.6603,            0.029398,            0.018838,            0.008838,            0.008838
                   7,             0.10923,               1.179,            0.031501,                   0,                   0,                   0,                   0,              0.1104,              1.6603,            0.029398,             0.00979,             0.00979,             0.00979
                   8,             0.10802,              1.1678,             0.03119,                   0,                   0,                   0,                   0,             0.11113,              1.6439,            0.029538,             0.00979,             0.00979,             0.00979
                   9,             0.10616,              1.1633,            0.030465,                   0,                   0,                   0,                   0,             0.11113,              1.6439,            0.029538,             0.00976,             0.00976,             0.00976
                  10,             0.10574,              1.1895,            0.030528,            0.053344,            0.037568,             0.03355,           0.0091935,             0.10301,              1.7089,            0.028334,             0.00973,             0.00973,             0.00973
                  11,             0.10551,              1.1448,            0.028406,            0.053344,            0.037568,             0.03355,           0.0091935,             0.10301,              1.7089,            0.028334,              0.0097,              0.0097,              0.0097
                  12,             0.10548,              1.1587,            0.028449,            0.053344,            0.037568,             0.03355,           0.0091935,             0.10301,              1.7089,            0.028334,             0.00967,             0.00967,             0.00967
                  13,             0.10399,              1.1322,            0.026963,            0.027393,            0.026694,            0.014689,           0.0034159,               0.101,              1.4128,             0.02617,             0.00964,             0.00964,             0.00964
                  14,             0.10232,              1.1352,            0.027224,            0.027393,            0.026694,            0.014689,           0.0034159,               0.101,              1.4128,             0.02617,             0.00961,             0.00961,             0.00961
                  15,             0.10227,              1.1652,             0.02582,            0.039148,            0.042459,            0.022067,           0.0036806,             0.10561,              1.4286,            0.025376,             0.00958,             0.00958,             0.00958
                  16,            0.099242,              1.2067,            0.025783,            0.039148,            0.042459,            0.022067,           0.0036806,             0.10561,              1.4286,            0.025376,             0.00955,             0.00955,             0.00955
                  17,            0.099421,              1.2195,            0.024223,            0.039148,            0.042459,            0.022067,           0.0036806,             0.10561,              1.4286,            0.025376,             0.00952,             0.00952,             0.00952
                  18,            0.096735,              1.2169,            0.023276,            0.010851,            0.011567,            0.005667,           0.0012448,             0.10215,              1.4723,            0.024515,             0.00949,             0.00949,             0.00949
                  19,            0.095191,              1.2356,            0.023093,            0.010851,            0.011567,            0.005667,           0.0012448,             0.10215,              1.4723,            0.024515,             0.00946,             0.00946,             0.00946
                  20,            0.095254,              1.2243,            0.024188,           0.0079476,            0.010305,           0.0041121,          0.00079666,             0.11175,              4.1977,            0.025322,             0.00943,             0.00943,             0.00943
                  21,            0.093538,              1.1901,            0.021656,           0.0079476,            0.010305,           0.0041121,          0.00079666,             0.11175,              4.1977,            0.025322,              0.0094,              0.0094,              0.0094
                  22,            0.093469,              1.1858,             0.02178,           0.0079476,            0.010305,           0.0041121,          0.00079666,             0.11175,              4.1977,            0.025322,             0.00937,             0.00937,             0.00937
                  23,            0.091072,              1.1514,            0.021192,            0.027103,            0.039256,             0.01494,           0.0030717,             0.10388,              1.2068,            0.021137,             0.00934,             0.00934,             0.00934
                  24,            0.089882,              1.1332,            0.020948,            0.027103,            0.039256,             0.01494,           0.0030717,             0.10388,              1.2068,            0.021137,             0.00931,             0.00931,             0.00931
                  25,            0.090193,              1.1828,              0.0209,           0.0078354,            0.012683,            0.004117,           0.0008559,             0.11091,              3.6682,            0.021786,             0.00928,             0.00928,             0.00928
                  26,            0.089909,               1.233,            0.019939,           0.0078354,            0.012683,            0.004117,           0.0008559,             0.11091,              3.6682,            0.021786,             0.00925,             0.00925,             0.00925
                  27,            0.089598,              1.2231,            0.019602,           0.0078354,            0.012683,            0.004117,           0.0008559,             0.11091,              3.6682,            0.021786,             0.00922,             0.00922,             0.00922
                  28,            0.087181,              1.1225,             0.01948,            0.025437,            0.031468,            0.013511,           0.0028261,             0.10124,              1.1453,            0.018384,             0.00919,             0.00919,             0.00919
