               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10441,             0.99449,            0.028102,          1.9137e-05,          0.00010711,          9.5919e-06,          9.5919e-07,             0.10232,              1.4424,            0.027024,            0.070652,           0.0032609,           0.0032609
                   1,             0.10452,             0.92629,            0.028043,          1.9099e-05,          0.00010711,          9.5737e-06,          9.5737e-07,             0.10225,              1.4488,            0.027046,            0.040635,           0.0065772,           0.0065772
                   2,             0.10408,             0.90104,            0.027714,                   0,                   0,                   0,                   0,              0.1023,              1.4556,            0.027086,            0.010601,           0.0098765,           0.0098765
                   3,             0.10317,             0.91568,             0.02762,           0.0069635,           0.0069986,           0.0035963,           0.0008981,             0.10285,              1.3537,            0.027185,           0.0099229,           0.0099229,           0.0099229
                   4,             0.10193,             0.91759,            0.027459,           0.0072549,            0.010745,           0.0037152,          0.00090742,              0.1118,               0.982,            0.030125,           0.0099229,           0.0099229,           0.0099229
                   5,            0.099436,             0.91933,            0.026957,           0.0072549,            0.010745,           0.0037152,          0.00090742,              0.1118,               0.982,            0.030125,           0.0098971,           0.0098971,           0.0098971
                   6,            0.097766,             0.89489,            0.026696,            0.003171,           0.0073964,            0.001635,          0.00038969,             0.12145,              0.8661,            0.034569,           0.0098714,           0.0098714,           0.0098714
                   7,            0.096488,             0.88066,            0.026411,           0.0079914,            0.023352,           0.0042536,          0.00097259,             0.12171,              1.4259,            0.037776,           0.0098457,           0.0098457,           0.0098457
                   8,            0.094857,              0.8741,            0.026141,           0.0079914,            0.023352,           0.0042536,          0.00097259,             0.12171,              1.4259,            0.037776,             0.00982,             0.00982,             0.00982
                   9,            0.093523,             0.87643,             0.02581,           0.0037841,           0.0063229,            0.001915,          0.00044097,             0.11365,             0.90807,            0.032104,           0.0097943,           0.0097943,           0.0097943
                  10,            0.093246,              0.8957,            0.025807,           0.0076573,            0.020432,           0.0040205,          0.00091585,             0.12255,              1.4234,            0.037863,           0.0097686,           0.0097686,           0.0097686
                  11,            0.092388,             0.90719,            0.025561,            0.015434,            0.013198,           0.0070646,           0.0020609,             0.11184,              0.9096,            0.032687,           0.0097429,           0.0097429,           0.0097429
                  12,            0.089467,             0.92392,            0.025066,            0.015434,            0.013198,           0.0070646,           0.0020609,             0.11184,              0.9096,            0.032687,           0.0097171,           0.0097171,           0.0097171
                  13,            0.087061,             0.92283,             0.02481,           0.0046673,           0.0068339,             0.00236,          0.00044796,             0.11162,             0.96054,            0.031428,           0.0096914,           0.0096914,           0.0096914
                  14,            0.085919,             0.94449,            0.024816,           0.0066987,            0.018925,           0.0035159,          0.00090569,             0.11217,              1.4711,              0.0322,           0.0096657,           0.0096657,           0.0096657
                  15,            0.084844,             0.96516,            0.024892,            0.063571,            0.076002,            0.044542,            0.013166,            0.099148,             0.97315,            0.027364,             0.00964,             0.00964,             0.00964
                  16,            0.081914,             0.91487,            0.024254,            0.063571,            0.076002,            0.044542,            0.013166,            0.099148,             0.97315,            0.027364,           0.0096143,           0.0096143,           0.0096143
                  17,            0.080995,             0.95812,            0.024357,            0.018218,            0.033939,            0.010009,           0.0025226,             0.10255,               1.162,            0.028238,           0.0095886,           0.0095886,           0.0095886
                  18,            0.079854,             0.95862,            0.024221,            0.051052,            0.070485,            0.030225,           0.0085962,             0.09325,              1.0318,            0.026544,           0.0095629,           0.0095629,           0.0095629
                  19,            0.077914,             0.91899,            0.023719,            0.051052,            0.070485,            0.030225,           0.0085962,             0.09325,              1.0318,            0.026544,           0.0095371,           0.0095371,           0.0095371
                  20,            0.075019,             0.93835,            0.023748,            0.088764,             0.06687,            0.049037,            0.014728,            0.098778,              1.2709,             0.02832,           0.0095114,           0.0095114,           0.0095114
                  21,            0.073515,             0.93609,            0.023435,            0.056978,            0.081978,            0.036284,           0.0096021,            0.092473,              1.1437,            0.025237,           0.0094857,           0.0094857,           0.0094857
                  22,            0.072669,               0.944,            0.023091,            0.069651,             0.10345,            0.041773,            0.010926,            0.090035,              1.1247,            0.026538,             0.00946,             0.00946,             0.00946
                  23,             0.06907,             0.91745,            0.022897,            0.069651,             0.10345,            0.041773,            0.010926,            0.090035,              1.1247,            0.026538,           0.0094343,           0.0094343,           0.0094343
